generation,best_fitness,mean_fitness
0,100.0,49.8,5.0
1,108.0,49.3,5.0
2,245.0,69.5,5.0
3,374.0,93.10000000000001,5.0
4,390.0,96.4,5.0
5,276.0,97.5,5.0
6,324.0,116.79999999999998,5.0
7,563.0,154.00000000000003,5.0
8,369.0,133.1,5.0
9,679.0,215.20000000000002,5.0
10,898.0,314.40000000000003,5.0
11,650.0,258.0,5.0
12,717.0,216.89999999999998,5.0
13,1111.0,314.40000000000003,5.0
14,548.0,236.49999999999997,5.0
15,616.0,219.4,5.0
16,685.0,287.2,5.0
17,786.0,286.7,5.0
18,1022.0,317.29999999999995,5.0
19,1273.0,310.90000000000003,5.0
20,1752.0,568.4,5.0
21,596.0,217.1,4.0
22,799.0,306.5,4.0
23,817.0,354.0,4.0
24,970.0,395.8,4.0
25,874.0,379.7,4.0
26,847.0,373.40000000000003,4.0
27,1002.0,321.0,4.0
28,595.0,242.7,4.0
29,657.0,336.5,4.0
30,548.0,282.3,4.0
31,731.0,334.9,4.0
32,690.0,292.90000000000003,4.0
33,839.0,427.3,4.0
34,1185.0,358.09999999999997,4.0
35,1310.0,466.3,4.0
36,98.0,34.8,1
37,60.0,28.4,1
38,66.0,31.4,1
39,57.0,40.0,1
40,53.0,30.1,1
41,52.0,39.2,1
42,94.0,37.0,1
43,101.0,35.0,1
44,70.0,38.7,1
45,93.0,39.4,1
46,62.0,33.3,1
47,79.0,42.3,1
48,115.0,40.6,1
49,48.0,27.8,1
50,70.0,41.9,1
51,44.0,32.2,1
52,71.0,25.8,1
53,57.0,29.1,1
54,76.0,37.0,1
55,68.0,36.8,1
56,116.0,46.9,1
57,116.0,37.5,1
58,93.0,55.3,1
59,69.0,42.1,1
60,98.0,48.7,1
61,77.0,35.1,1
62,67.0,38.5,1
63,101.0,50.9,1
64,62.0,37.6,1
65,50.0,29.8,1
66,55.0,40.4,1
67,68.0,43.8,1
68,61.0,32.9,1
69,58.0,36.6,1
70,54.0,33.3,1
71,103.0,55.5,1
72,110.0,53.8,1
73,40.0,29.5,1
74,64.0,38.4,1
75,77.0,39.1,1
76,73.0,38.0,1
77,74.0,40.5,1
78,90.0,41.5,1
79,70.0,37.9,1
80,66.0,40.4,1
81,63.0,42.0,1
82,86.0,45.8,1
83,91.0,45.5,1
84,78.0,41.2,1
85,109.0,51.7,1
86,105.0,48.3,1
87,152.0,54.0,1
88,153.0,62.5,1
89,218.0,96.2,1
90,243.0,154.5,1
91,229.0,151.7,1
92,324.0,170.8,1
93,187.0,118.2,1
94,228.0,120.0,1
95,211.0,100.8,1
96,205.0,117.4,1
97,218.0,138.7,1
98,231.0,135.5,1
99,240.0,141.7,1
